rig_id,lease_name,first_date,last_date,lat_mean,lon_mean,api_lst,operator
569d024a292274e4260016a4,HORSETAIL #07H-1815,2016-05-14,2016-07-02,40.85343170166,-103.78719329834,"['0512341831', '0512341829', '0512341841', '0512341836']",FUNDARE RESOURCES OPERATING CO
569d024a292274e4260016a4,RAZOR #26I-2346,2017-05-21,2017-06-30,40.808911,-103.825458,"['0512343935', '0512343930', '0512343932']",FUNDARE RESOURCES OPERATING CO
569d024a292274e4260016a4,RAZOR FED #30L-3135,2017-07-06,2017-08-12,40.80862808228,-103.91480255127,['0512344493'],FUNDARE RESOURCES OPERATING CO
569d024a292274e4260016a4,RAZOR #30J-3143,2017-08-08,2017-09-02,40.80851745605,-103.90603637695,['0512344464'],FUNDARE RESOURCES OPERATING CO
569d024a292274e4260016a4,BIG SANDY,2019-02-06,2019-12-07,41.14977666666667,-104.63885666666665,"['4902127626', '4902127161', '4902127160']",EOG
569d024a292274e4260016a4,Big Sandy,2019-05-20,2019-08-31,41.15771,-104.63562,"['4902126913', '4902126920', '4902126914', '4902127367']",EOG
569d024a292274e4260016a4,Burns,2019-08-28,2020-02-22,41.17538,-104.46288,['4902127343'],EOG
569d024a292274e4260016a4,Pole Creek,2019-12-07,2019-12-28,41.21816,-104.64354,['4902126936'],EOG
569d024a292274e4260016a4,DURHAM,2019-12-19,2020-01-11,41.18873,-104.59008,['4902121883'],EOG
569d024a292274e4260016a4,BURNS,2020-02-13,2020-02-29,41.17538,-104.46303,['4902127356'],EOG
569d0310292274e42600212b,LAND FED #30N-29HZ,2016-06-07,2016-08-06,40.09896469116,-104.8048248291,"['0512342398', '0512342393', '0512342397', '0512342389']",OCCIDENTAL
569d0310292274e42600212b,LAND #37N-32HZ,2016-07-18,2016-09-10,40.09923553467,-104.7972946167,"['0512342301', '0512342304', '0512342302']",OCCIDENTAL
569d0310292274e42600212b,FOLLEY SOUTH #1,2016-08-25,2016-10-01,40.39381790161,-104.94630432129,"['0506906484', '0506906483']",OCCIDENTAL
569d0310292274e42600212b,JZM #2N-3HZ,2016-10-28,2016-12-03,40.05899047852,-104.87493133545,['0512339783'],OCCIDENTAL
569d0310292274e42600212b,WHISTON #25N-33HZ,2017-02-17,2017-04-22,40.16786193848,-104.89092254639,"['0512344028', '0512344027', '0512344033', '0512344034', '0512344029']",OCCIDENTAL
569d0310292274e42600212b,CHICA #35N2-14HZ,2017-04-04,2017-06-03,40.18785858154,-104.86563110352,"['0512344122', '0512344119', '0512344123', '0512344120']",OCCIDENTAL
569d0310292274e42600212b,BUTTERBALL #40C-34HZ,2017-05-10,2017-06-10,40.15827178955,-104.86981201172,"['0512344319', '0512344318', '0512344320']",OCCIDENTAL
569d0310292274e42600212b,FL GREENS #3N-5HZ,2017-06-21,2017-08-05,40.07012557983,-104.80574035645,"['0512342280', '0512342272']",OCCIDENTAL
569d0310292274e42600212b,BAJA BERG,2018-12-25,2019-03-09,40.0909895,-104.85892575,"['0512347569', '0512347586', '0512347577', '0512347585']",OCCIDENTAL
569d0310292274e42600212b,RUCA,2019-03-06,2019-03-16,40.128871,-104.907369,['0512348407'],OCCIDENTAL
569d0310292274e42600212b,RANGER,2019-03-21,2019-06-15,40.0709868,-104.93692300000001,"['0512349373', '0512349361', '0512349359', '0512349365', '0512349374']",OCCIDENTAL
569d0310292274e42600212b,CARSON,2019-06-16,2019-07-31,40.075783,-104.959545,"['0512348108', '0512348112', '0512348105', '0512348121']",OCCIDENTAL
569d0310292274e42600212b,TULA,2019-08-02,2019-10-23,40.064553875,-104.94550343750001,"['0512349330', '0512349322', '0512349324', '0512349319', '0512349331', '0512349329', '0512349318', '0512349323', '0512349320', '0512349317', '0512349325', '0512349332', '0512349327', '0512349328', '0512349326', '0512349321']",OCCIDENTAL
569d0310292274e42600212b,RETAMA STATE 36-11-56,2019-08-18,2019-11-07,40.89,-103.58874,['0512341756'],RETAMCO OPERATING INC
569d0310292274e42600212b,NILES MILLER,2019-10-24,2019-11-18,40.204012875000004,-104.79457049999999,"['0512343148', '0512343144', '0512343147', '0512343150', '0512343149', '0512343145', '0512343146', '0512343143']",OCCIDENTAL
569d0310292274e42600212b,CLELAND,2019-11-20,2019-12-29,40.048727,-104.99204999999999,"['0512350493', '0512350490', '0512350491', '0512350492', '0512350489']",OCCIDENTAL
569d0310292274e42600212b,WINDSOCK,2019-12-31,2020-02-22,40.030235545454545,-105.007422,"['0512350631', '0512350632', '0512350630', '0512350633', '0512350639', '0512350636', '0512350629', '0512350638', '0512350635', '0512350637', '0512350634']",OCCIDENTAL
569d0310292274e42600212b,MAE J,2020-02-23,2020-04-07,40.0604845,-105.02860116666666,"['0512350519', '0512350517', '0512350514', '0512350515', '0512350520', '0512350516', '0512350512', '0512350511', '0512350518', '0512350510', '0512350509', '0512350513']",OCCIDENTAL
569d0156292274e426000054,SUDS #8-67-36-25C,2017-05-24,2017-06-10,40.6110496521,-104.84394073486,['0512344539'],ENERPLUS
569d0156292274e426000054,LOST CREEK #03-62-08-2H,2017-06-12,2017-06-30,40.24691,-104.352548,['0512344648'],VERDAD RESOURCES
569d0156292274e426000054,HOMESTEAD #24,2017-06-22,2017-08-26,40.00719833374,-104.75743103027,"['0512344635', '0512344638', '0512344636', '0512344624']",PETRO OPERATING COMPANY LLC
569d0156292274e426000054,BRNAK #01-64-10-3H,2017-08-10,2017-09-02,40.0725440979,-104.54187011719,"['0512344997', '0512344996', '0512345000']",VERDAD RESOURCES
569d0155292274e42600003c,SCHAUMBERG #17G-214RD,2016-08-03,2016-08-03,40.40202331543,-104.57906341553,['0512343468'],CHEVRON
569d0155292274e42600003c,VT-LDS,2019-07-17,2019-09-06,40.40126,-104.65714,['0512344414'],CIVITAS RESOURCES
569d0155292274e42600003c,REGNIER FARMS FEDERAL,2019-12-28,2020-02-02,40.131202,-105.043165,"['0512344946', '0512344944', '0512344937', '0512344941', '0512344945', '0512344940']",CIVITAS RESOURCES
569d01f0292274e426001105,MARCUS LD #11-379HC,2016-08-06,2016-10-08,40.00300979614,-104.86806488037,"['0512342587', '0512342584', '0512342586']",CHEVRON
569d01f0292274e426001105,DITTMER KE #20-029HN,2016-10-02,2016-12-10,40.01187896729,-104.80215454102,"['0512343445', '0512343457', '0512343448']",CHEVRON
569d01f0292274e426001105,KODAK NORTH FD #28-042HC,2017-01-08,2017-02-18,40.45871734619,-104.86249542236,['0512343503'],CHEVRON
569d01f0292274e426001105,OCHO LD #17-367HC,2017-03-20,2017-05-06,39.98421859741,-104.9136505127,"['0500109993', '0500109995', '0500109996']",CHEVRON
569d01f0292274e426001105,SCHNEIDER HD #11-299HNX,2017-06-13,2017-06-30,40.322525,-104.828722,['0512344683'],CHEVRON
569d01f0292274e426001105,RITCHEY #26-1-16HC,2017-06-29,2017-08-05,40.02805328369,-104.75151824951,"['0512344743', '0512344747']",CHEVRON
569d01f0292274e426001105,RAINDANCE FC #26-032HC,2017-07-16,2017-09-02,40.46278381348,-104.92748260498,"['0512337004', '0512344992', '0512344989', '0512344982']",CHEVRON
569d01f0292274e426001105,SCHAEFER LD,2019-02-10,2019-03-09,39.94432,-104.834787,['0500110255'],CHEVRON
569d01f0292274e426001105,BRANT LE,2019-06-13,2020-02-13,39.98080157142857,-104.848029,"['0500110340', '0500110323', '0500110337', '0500110339', '0500110343', '0500110332', '0500110336']",CHEVRON
